Supplementary Table 3: Total identified proteins and their respective NASF before filtration steps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main.Acessions,Sample.1,Sample.2,Sample.3,Sample.4,Sample.5,Sample.6,Sample.7,Sample.8,Sample.9,Sample.10,Sample.11,Sample.12,Sample.13,Sample.14,Sample.15,Sample.16,Sample.17,Sample.18,Sample.19,Sample.20,Sample.21,Control.1,Control.2,Control.3,Control.4,Control.5,Control.6,Control.7,Control.8,Control.9
Groups,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Cancerous,Control ,Control ,Control ,Control ,Control ,Control ,Control ,Control ,Control 
A0A087WVW4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001908397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WW43,0.007497179,0.005777471,0.006530661,0.008002306,0.007523954,0.005692179,0.006146331,0.009198448,0.004681266,0.006561968,0.011776151,0.010319133,0.016299241,0.01584221,0.014040682,0.012353035,0.00184059,0.015085009,0.010276224,0.005264363,NA,0.012168397,0.010949772,0.003604383,0.004738219,0.006676347,0.011281375,0.004181084,0.009748311,0.001297578
A0A087WWF8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WWT3,0.022245168,0.016278499,0.016096119,0.010863892,0.014320761,0.003998316,0.011911795,0.015175115,0.01441183,0.008684719,0.001893939,NA,0.007468041,0.011501213,0.013091725,0.016509223,0.005155724,0.003787879,0.012181226,0.014536665,0.003314394,0.003535354,0.005681818,0.006648162,0.00249018,0.0074201,0.011953434,0.006223716,0.007769147,0.005585117
A0A087WWU8,0.00660793,NA,NA,0.002202643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WWY3,NA,NA,NA,0.000184775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WX60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00132626,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WXS0,0.012820513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WXZ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A087WZK0,0.042944785,0.039877301,NA,0.016871166,0.003067485,0.021472393,0.013803681,0.024539877,0.036809816,0.018404908,0.02607362,0.029141104,0.033742331,0.04601227,0.023006135,0.036809816,NA,0,0.039877301,0.023006135,0.024539877,0.039877301,0.036809816,NA,0.052147239,0.033742331,0.039877301,0.033742331,0.033742331,0.027607362
